# Generated with generate_timeseries.py on 2020-11-10
# Subset of measurements of the velocity of a turbulent jet made in a wind tunnel at ENS de Lyon, by Christophe Baudet and Antoine Naert.
# Measurement frequency is 23000.0Hz.
#
0.003608695652173913,3.854669
0.0036521739130434784,3.853172
0.0036956521739130435,3.8485336
0.0037391304347826086,3.8345375
0.003782608695652174,3.8198576
0.0038260869565217392,3.795173
0.0038695652173913043,3.7875426
0.00391304347826087,3.7864714
0.003956521739130435,3.7746558
0.004,3.7709126
0.004043478260869565,3.7600148
0.00408695652173913,3.7510703
0.004130434782608695,3.743492
0.0041739130434782605,3.728996
0.0042173913043478265,3.717708
0.004260869565217392,3.7034583
0.004304347826086957,3.6900802
0.004347826086956522,3.6834283
0.004391304347826087,3.6817799
0.004434782608695652,3.6853974
0.004478260869565217,3.6920547
0.004521739130434782,3.7070296
0.004565217391304348,3.716837
0.004608695652173913,3.7266288
0.004652173913043478,3.730006
0.0046956521739130435,3.73704
0.004739130434782609,3.7376814
0.004782608695652174,3.7393198
0.004826086956521739,3.7350936
0.004869565217391304,3.7329345
0.00491304347826087,3.7277455
0.004956521739130435,3.722859
0.005,3.7176743
0.005043478260869565,3.713904
0.00508695652173913,3.7075489
0.005130434782608695,3.702876
0.0051739130434782605,3.6987798
0.0052173913043478265,3.6971693
0.005260869565217392,3.693865
0.005304347826086957,3.695385
0.005347826086956522,3.6948812
0.005391304347826087,3.703157
0.005434782608695652,3.705445
0.005478260869565217,3.7186255
0.005521739130434782,3.7244723
0.005565217391304348,3.735293
0.005608695652173913,3.746893
0.005652173913043478,3.7552407
0.0056956521739130435,3.7652361
0.005739130434782609,3.7705102
0.005782608695652174,3.7774005
0.005826086956521739,3.7784064
0.005869565217391304,3.7790422
0.00591304347826087,3.774279
0.005956521739130435,3.7723522
0.006,3.766371
0.006043478260869565,3.756888
0.00608695652173913,3.7489228
0.0061304347826086954,3.736218
0.0061739130434782605,3.7251854
0.0062173913043478265,3.7107265
0.006260869565217392,3.701056
0.006304347826086957,3.6886437
0.006347826086956522,3.682138
0.006391304347826087,3.6782527
0.006434782608695652,3.6780193
0.006478260869565217,3.678764
0.006521739130434782,3.6844692
0.006565217391304348,3.6909566
0.006608695652173913,3.6973505
0.0066521739130434784,3.6990306
0.0066956521739130435,3.698832
0.006739130434782609,3.6932821
0.006782608695652174,3.680408
0.006826086956521739,3.6633723
0.006869565217391304,3.6513605
0.00691304347826087,3.639522
0.006956521739130435,3.6380517
0.007,3.6465726
0.007043478260869565,3.6631477
0.00708695652173913,3.6876411
0.0071304347826086955,3.7144408
0.007173913043478261,3.7425387
0.007217391304347826,3.7724895
0.007260869565217392,3.795177
0.007304347826086957,3.8191092
0.007347826086956522,3.840978
0.007391304347826087,3.8586674
0.007434782608695652,3.8700454
0.007478260869565217,3.8833878
0.007521739130434782,3.895409
0.007565217391304348,3.9000995
0.007608695652173913,3.90585
0.0076521739130434785,3.9061556
0.0076956521739130436,3.9071314
0.007739130434782609,3.9037132
0.007782608695652174,3.8984473
0.00782608695652174,3.8971345
0.007869565217391305,3.890387
0.00791304347826087,3.8851228
0.007956521739130435,3.8787045
0.008,3.8706198
0.008043478260869565,3.862977
